name,artists,album,release_date,duration_ms,popularity,explicit,preview_url,external_url,track_number,disc_number,uri,added_at,duration_min,added_date
Try Me,Jorja Smith,falling or flying,2023-09-29,213933,46,False,,https://open.spotify.com/track/0pvp14nDtb1DnEgRrmcBpY,1,1,spotify:track:0pvp14nDtb1DnEgRrmcBpY,2024-05-04T09:36:58Z,3.56555,2024-05-04
Queen Tings,"Masego, Tiffany Gouché",Lady Lady,2018-09-07,188053,60,False,,https://open.spotify.com/track/5tkR9JkBj3Ueeo8W4k8IZD,7,1,spotify:track:5tkR9JkBj3Ueeo8W4k8IZD,2024-05-04T09:37:15Z,3.1342166666666667,2024-05-04
Canggu,FKJ,French Kiwi Juice,2017-03-03,245816,47,False,,https://open.spotify.com/track/5Wx9xfNURyR3OaMNNlEk8j,6,1,spotify:track:5Wx9xfNURyR3OaMNNlEk8j,2024-05-04T09:37:26Z,4.096933333333333,2024-05-04
Sicily' Box,"Venna, Yussef Dayes, Marco Bernardis, Rocco Palladino",Sicily' Box,2022-10-28,245853,53,False,,https://open.spotify.com/track/7EdQ9Z80HAKiISr1MZABpZ,1,1,spotify:track:7EdQ9Z80HAKiISr1MZABpZ,2024-05-04T09:37:39Z,4.09755,2024-05-04
Dragonball Durag,Thundercat,It Is What It Is,2020-04-03,181922,60,False,,https://open.spotify.com/track/7eWGnKg4B44sbBPpQp4y2c,9,1,spotify:track:7eWGnKg4B44sbBPpQp4y2c,2024-05-04T09:37:52Z,3.032033333333333,2024-05-04
Charcoal Baby,Blood Orange,Negro Swan,2018-08-24,242341,64,False,,https://open.spotify.com/track/3bBmpVl9rQKJsFFGLFilIS,7,1,spotify:track:3bBmpVl9rQKJsFFGLFilIS,2024-05-04T09:38:04Z,4.039016666666667,2024-05-04
Passionfruit,Drake,More Life,2017-03-18,298940,81,True,,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz,3,1,spotify:track:5mCPDVBb16L4XQwDdbRUpz,2024-05-04T09:38:14Z,4.982333333333333,2024-05-04
Nights,Frank Ocean,Blonde,2016-08-20,307151,78,True,,https://open.spotify.com/track/7eqoqGkKwgOaWNNHx90uEZ,9,1,spotify:track:7eqoqGkKwgOaWNNHx90uEZ,2024-05-04T09:38:27Z,5.119183333333333,2024-05-04
Cabin Fever,Jaden,CTV3: Cool Tape Vol. 3,2020-08-28,195214,50,False,,https://open.spotify.com/track/17hEgChAl6FQ73xelHkKNt,10,1,spotify:track:17hEgChAl6FQ73xelHkKNt,2024-05-04T09:38:46Z,3.2535666666666665,2024-05-04
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",Mr. Morale & The Big Steppers,2022-05-13,239026,73,True,,https://open.spotify.com/track/2g6tReTlM2Akp41g0HaeXN,4,1,spotify:track:2g6tReTlM2Akp41g0HaeXN,2024-05-04T09:42:03Z,3.9837666666666665,2024-05-04
